museum,lng,lat
闻喜县博物馆,111.23181737991071,35.36359997078067
稷山县博物馆,110.98941457872347,35.61040356961574
新绛县博物馆,111.23140649497044,35.62263010308172
万荣县博物馆,110.84121195602619,35.421116889439546
临猗县博物馆,110.78040700351404,35.149542242621784
介休市博物馆,111.92356319719394,37.03268640360337
平遥县博物馆,112.182455563814,37.195600690703
平遥县中国票号博物馆,112.1900950233625,37.211499927889015
祁县晋商文化博物馆,112.33375796933454,37.363737984887024
昔阳县博物馆,113.71361290387442,37.61788404299596
右玉县博物馆,112.47350008124718,39.99485955543098
榆社县化石博物馆,112.97894038999974,37.07256489174302
沁水县文史博物馆,112.19020416748195,35.69553051876224
高平市博物馆,112.93041239923134,35.80433679857751
朔州市汉墓博物馆,112.4393709396677,39.337108370541735
潞城市文物博物管理所,113.23557845894248,36.339691267612324
晋城博物馆,112.87544508507578,35.496855563674224
八路军太行纪念馆,112.86273460109291,36.83901578246381
长治市博物馆,113.12255886984902,36.2012683721548
黎城县文博馆,113.39343247603895,36.50866990144076
平型关大捷纪念馆,113.91945763521375,39.31564451735803
中国煤炭博物馆,116.32969001004726,39.90445610293765
太原市晋祠博物馆,112.44815591840252,37.715211305119595
大同市博物馆,113.37336244450448,40.102783001859564
太原解放纪念馆,112.62064692547857,37.9008372969704
山西博物院,113.12255886984902,36.2012683721548
山西国民师范旧址革命活动纪念馆,112.58040185049549,37.89295062897448
武强年画博物馆,115.77955010894878,39.257143660658095
太原晋商博物馆,112.56900100611561,37.88038801950284
彭真生平暨中共太原支部旧址纪念馆,103.88166951750964,30.58858655262694
霸州李少春纪念馆,116.39531697670643,39.1203841166112
霸州市博物馆,116.39798251864619,39.12936610440668
霸州中国自行车博物馆,116.39839726630014,39.13092059698142
赤城县博物馆,115.83850589956863,40.918761216841006
河北海盐博物馆,120.95524402338134,30.523809886171485
廊坊博物馆,116.69058173342549,39.54336666275853
黄骅市博物馆,117.35161502430587,38.37820707268231
隆化民族博物馆,117.74591625671954,41.3191977098771
热河革命烈士纪念馆,118.09103991755318,24.481948750989726
平泉县博物馆,118.70742672204064,41.02375562592939
滦平县博物馆,117.35001666931197,40.94244692509424
定州市博物馆,114.99649620776492,38.522198840134
安国市中药文化博物馆,115.33863086294204,38.43053877479518
安国市毛主席视察纪念馆,115.34494361508287,38.435601540683145
蔚县博物馆,114.60833731893685,39.82120094104855
保定军校纪念馆,115.5333726280086,38.872142731197016
保定市博物馆,115.47146383768579,38.87998776845534
武安市磁山文化博物馆,114.13048882324549,36.58195394586685
冀南区烈士陵园管理处,120.57478055853504,31.271846754641192
唐山启新水泥工业博物馆,118.21660202359655,39.63605007128088
乐亭县博物馆,118.91938406305317,39.43193132009613
秦皇岛市玻璃博物馆,119.61071369539363,39.9298679972343
唐山抗震纪念馆,118.1885730950742,39.63084293515116
唐山博物馆,118.19800000292648,39.63739006485207
平山县博物馆,123.77461422409242,41.301604181773875
西柏坡纪念馆,113.9514400062855,38.34558604903226
华北军区烈士陵园,116.30559233592824,39.835510011090165
